8,110,124,108,121,92,119,115
9,152,187,236,122,88,121,125
10,150,107,121,76,85,135,114
11,115,86,97,112,114,87,120
12,89,98,116,102,122,121,124
13,71,101,92,126,114,116,102
14,65,83,79,98,88,78,67
15,55,93,92,124,52,67,85
16,71,60,73,71,67,60,62
17,90,47,34,81,46,114,55
18,68,99,99,99,99,99,99
19,99,99,99,99,99,99,99
20,99,99,99,99,99,99,99
21,99,99,99,99,62,62,62
22,62,62,62,58,83,80,79
23,67,69,94,78,79,102,82
24,91,79,81,72,91,103,84
25,88,75,55,48,55,48,55
26,49,64,65,66,67,68,68
27,69,70,71,86,58,59,62
28,83,95,51,69,68,82,86
29,72,78,108,92,68,74,94
30,96,106,86,87,71,67,103
31,85,51,73,95,59,38,43
32,65,70,47,48,76,55,94
33,65,50,63,70,75,57,84
34,81,70,63,51,57,82,75
35,68,53,106,75,55,85,105
36,64,82,59,61,85,55,50
37,81,67,89,70,58,68,71
38,86,48,77,88,68,62,52
39,57,55,81,90,62,54,68
40,74,59,62,63,67,78,77
41,68,65,71,83,69,75,74
42,71,59,58,76,80,71,74
43,60,58,83,42,77,59,44
44,69,68,63,63,58,60,78
45,62,71,76,81,68,73,84
46,77,89,49,74,78,69,81
47,68,78,81,79,100,82,78
48,94,92,78,61,88,91,91
49,99,90,89,89,88,88,97
50,87,86,86,103,85,84,97
51,83,96,90,88,87,91,84
0,88,106,53,59,65,72,78
1,84,90,15,156,164,172,179
2,187,195,229,147,79,474,119
3,123,100,158,134,95,97,131
4,85,189,83,29,86,98,100
5,120,157,197,124,111,122,117
6,110,98,121,79,97,120,121
7,123,81,99,88,102,114,98
8,91,88,85,88,79,79,98
9,112,91,92,108,101,112,98
10,119,101,98,95,113,131,89
11,97,96,79,88,110,87,87
12,101,97,93,89,85,69,100
13,96,72,79,85,88,82,92
14,68,87,58,85,99,51,49
15,55,65,84,82,71,74,88
16,85,77,75,69,71,71,62
17,41,58,40,64,58,59,72
18,87,67,48,66,73,88,73
19,38,48,44,47,42,58,61
20,60,62,58,60,57,52,55
21,71,59,58,62,60,71,46
22,62,57,54,70,67,34,56
23,76,74,57,28,47,37,39
24,26,65,58,62,61,50,54
25,62,54,55,66,64,57,44
26,42,51,56,48,49,73,67
27,28,51,66,35,55,15,50
28,42,35,31,59,45,63,58
29,41,47,55,53,49,61,61
30,45,49,32,42,47,55,51
31,41,75,62,25,44,70,37
32,51,16,54,43,29,35,64
33,45,66,55,40,41,60,51
34,42,66,23,49,45,54,38
